"ST","NAICS","Total_RCPTOT","Total_ESTAB","Year"
42,"2371",3572,71,2012
42,"2372",79522,374,2012
42,"23721",79522,374,2012
42,"2373",6279,99,2012
42,"23731",6279,99,2012
42,"2379",24871,386,2012
42,"23799",24871,386,2012
42,"238",3453497,67569,2012
42,"2381",545561,9635,2012
42,"2382",659205,12110,2012
42,"23821",260382,5721,2012
42,"23822",357665,5646,2012
42,"23829",32386,579,2012
42,"2383",1121919,25004,2012
42,"2389",1125590,20790,2012
42,"484",1518290,14058,2012
42,"4841",1400913,12666,2012
42,"48411",449954,5023,2012
42,"4842",115183,1362,2012
42,"4853",195967,5310,2012
17,"23",4559957,91006,2013
17,"236",1890901,31148,2013
17,"2361",1713160,28345,2013
17,"237",85386,1033,2013
17,"2371",3849,90,2013
17,"2372",35876,233,2013
17,"23721",35876,233,2013
17,"2373",7950,143,2013
17,"23731",7950,143,2013
17,"2379",21179,303,2013
17,"23799",21179,303,2013
17,"238",2574210,58685,2013
17,"2381",374668,8041,2013
17,"2382",528225,11025,2013
17,"23821",199629,4880,2013
17,"23822",282807,5257,2013
17,"23829",26936,556,2013
17,"2383",894331,23342,2013
17,"2389",764732,15970,2013
17,"484",3051908,35936,2013
17,"4841",2944838,34314,2013
17,"48411",668734,8989,2013
17,"4842",93381,1464,2013
17,"4853",615023,18581,2013
30,"23",655853,11547,2013
30,"236",274734,3827,2013
30,"2361",254613,3453,2013
30,"237",24366,256,2013
30,"2372",10325,51,2013
30,"23721",10325,51,2013
30,"2379",5343,90,2013
30,"23799",5343,90,2013
30,"238",354324,7424,2013
30,"2381",59718,1094,2013
30,"2382",42434,783,2013
30,"23821",15533,333,2013
30,"23822",18744,302,2013
30,"23829",2123,45,2013
30,"2383",111087,2675,2013
30,"2389",133737,2676,2013
30,"484",205340,1784,2013
30,"4841",181236,1558,2013
30,"48411",41409,492,2013
30,"4842",19771,173,2013
30,"2373",202,10,2013
30,"23731",202,10,2013
30,"4853",57,3,2013
30,"2371",1632,16,2013
39,"23",4621344,89148,2013
39,"236",1431318,21968,2013
39,"2361",1210148,18809,2013
39,"237",116267,1363,2013
39,"2371",9648,125,2013
39,"2373",5029,90,2013
39,"23731",5029,90,2013
39,"2379",21631,310,2013
39,"23799",21631,310,2013
39,"238",3070066,65762,2013
39,"2381",644399,12125,2013
39,"2382",459298,9476,2013
39,"23821",153550,3923,2013
39,"23822",260796,4683,2013
39,"23829",30159,575,2013
39,"2383",1017470,25363,2013
39,"2389",945973,18735,2013
39,"484",1927094,19824,2013
39,"4841",1804220,18015,2013
39,"48411",480564,5805,2013
39,"4842",118503,1739,2013
39,"4853",65394,2975,2013
39,"2372",56602,361,2013
39,"23721",56602,361,2013
42,"23",5384210,90943,2013
42,"236",1715291,22501,2013
42,"2361",1510077,20063,2013
42,"237",132790,1223,2013
42,"2371",4157,77,2013
42,"2372",75138,335,2013
42,"23721",75138,335,2013
